state,yearOfLoss,floodEvent,event_type,state,yearOfLoss,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,totalPaid,precip_mm,wind_max_m_s,temp_mean_c
CA,1983,Flooding,Flood,CA,1983,0.0,0.0,0.0,27.9,30.9,25.613972602739732
NJ,2007,Nor'easter,Storm,NJ,2007,8403.45,765.64,9169.09,0.0,0.0,0.0
NY,2010,Nor'easter,Storm,NY,2010,1562.13,0.0,1562.13,65.8,37.3,13.142191780821914
CA,1998,Pineapple Express - Southern,Other,CA,1998,4160.1,0.0,4160.1,40.6,31.1,23.838082191780835
CT,2011,Hurricane Irene,Hurricane,CT,2011,46777.01,0.0,46777.01,90.7,44.0,16.041095890410965
MO,1993,Midwest Flooding,Flood,MO,1993,11000.0,5300.0,16300.0,85.7,29.8,17.577534246575347
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,44195.04,501.5,44696.54,0.0,0.0,0.0
LA,1980,Flooding,Flood,LA,1980,902.79,0.0,902.79,116.8,32.4,24.40846994535519
TX,2017,Hurricane Harvey,Hurricane,TX,2017,79362.05,32144.46,111506.51000000001,115.4,53.5,26.819726027397266
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
FL,2017,Hurricane Irma,Hurricane,FL,2017,120094.07,0.0,120094.07,75.8,73.1,27.927123287671268
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,22121.75,0.0,22121.75,0.0,0.0,0.0
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
FL,2024,Hurricane Milton,Hurricane,FL,2024,180429.56,0.0,180429.56,45.2,63.6,28.001912568306004
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,1000.0,1000.0,63.7,47.6,25.748767123287685
MS,2005,Hurricane Katrina,Hurricane,MS,2005,18200.0,16600.0,34800.0,82.8,59.6,24.039999999999996
MO,1984,Flooding,Flood,MO,1984,0.0,195.0,195.0,63.1,33.8,18.54344262295081
TX,2008,Hurricane Dolly,Hurricane,TX,2008,2199.21,0.0,2199.21,41.7,42.5,26.64180327868851
FL,1999,Hurricane Irene,Hurricane,FL,1999,0.0,0.0,0.0,110.3,35.5,27.3413698630137
RI,2010,Nor'easter,Storm,RI,2010,8912.78,0.0,8912.78,76.6,52.0,15.528767123287672
WV,1997,Flooding,Flood,WV,1997,0.0,0.0,0.0,28.8,36.9,15.007671232876703
NY,2012,Hurricane Sandy,Hurricane,NY,2012,74547.24,38873.19,113420.43000000001,48.8,39.7,14.591530054644808
FL,1981,Flooding,Flood,FL,1981,2040.62,0.0,2040.62,31.3,34.5,27.628219178082166
NC,1999,Hurricane Floyd,Hurricane,NC,1999,12267.44,0.0,12267.44,68.1,36.8,20.717534246575365
LA,1989,Flooding,Flood,LA,1989,18493.32,5944.68,24438.0,60.7,29.7,24.03835616438355
FL,2024,Hurricane Helene,Hurricane,FL,2024,556682.64,0.0,556682.64,45.2,63.6,28.001912568306004
FL,2022,Hurricane Ian,Hurricane,FL,2022,544253.38,0.0,544253.38,208.8,76.6,28.4682191780822
NY,2012,Hurricane Sandy,Hurricane,NY,2012,12169.49,0.0,12169.49,48.8,39.7,14.591530054644808
FL,1996,Hurricane Josephine,Hurricane,FL,1996,7539.22,1484.36,9023.58,58.4,34.3,26.52267759562842
NC,1998,Hurricane Bonnie,Hurricane,NC,1998,23272.18,0.0,23272.18,63.5,31.0,21.204109589041092
GA,2005,Hurricane Dennis,Hurricane,GA,2005,479.25,0.0,479.25,0.0,0.0,0.0
OH,1979,Not a named storm,Storm,OH,1979,0.0,0.0,0.0,134.2,40.3,14.264657534246574
FL,1996,Hurricane Josephine,Hurricane,FL,1996,0.0,0.0,0.0,58.4,34.3,26.52267759562842
FL,2005,Hurricane Wilma,Hurricane,FL,2005,0.0,0.0,0.0,47.4,54.1,26.69808219178083
AL,2004,Hurricane Ivan,Hurricane,AL,2004,1694.99,0.0,1694.99,126.7,54.8,23.34016393442623
LA,2012,Hurricane Isaac,Hurricane,LA,2012,0.0,0.0,0.0,75.6,47.8,25.857923497267745
LA,2005,Hurricane Katrina,Hurricane,LA,2005,225000.0,0.0,225000.0,63.7,47.6,25.748767123287685
LA,1991,Flooding,Flood,LA,1991,3178.48,4602.04,7780.52,86.6,32.6,24.527397260273947
MO,1994,Flooding,Flood,MO,1994,7500.0,0.0,7500.0,64.4,29.8,19.316712328767114
NC,2018,Hurricane Florence,Hurricane,NC,2018,15720.41,0.0,15720.41,181.7,38.8,20.5109589041096
FL,2004,Hurricane Frances,Hurricane,FL,2004,513.22,0.0,513.22,120.3,64.3,27.106557377049185
FL,2004,Hurricane Frances,Hurricane,FL,2004,15632.14,0.0,15632.14,120.3,64.3,27.106557377049185
FL,1996,Hurricane Josephine,Hurricane,FL,1996,18391.56,9440.0,27831.56,58.4,34.3,26.52267759562842
FL,2024,Hurricane Helene,Hurricane,FL,2024,52965.39,0.0,52965.39,45.2,63.6,28.001912568306004
NJ,2007,Nor'easter,Storm,NJ,2007,17323.31,5692.99,23016.300000000003,0.0,0.0,0.0
NC,2003,Hurricane Isabel,Hurricane,NC,2003,12364.72,2440.71,14805.43,66.2,37.3,19.546301369863023
IL,1985,Flooding,Flood,IL,1985,3378.0,600.0,3978.0,74.0,45.8,15.213424657534244
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,250000.0,100000.0,350000.0,0.0,0.0,0.0
FL,1988,Flooding,Flood,FL,1988,0.0,0.0,0.0,48.7,37.1,26.840437158469943
FL,2005,Hurricane Wilma,Hurricane,FL,2005,5993.24,0.0,5993.24,47.4,54.1,26.69808219178083
WA,1996,Flooding,Flood,WA,1996,13300.0,5900.0,19200.0,96.5,20.4,10.540710382513662
FL,2008,Tropical Storm Fay,Storm,FL,2008,0.0,0.0,0.0,42.3,32.3,27.393169398907098
PA,2004,Tropical Storm Ivan,Storm,PA,2004,14292.76,11013.18,25305.940000000002,67.8,38.4,15.314754098360641
TX,2017,Hurricane Harvey,Hurricane,TX,2017,56482.08,0.0,56482.08,115.4,53.5,26.819726027397266
FL,2024,Hurricane Helene,Hurricane,FL,2024,250000.0,14000.0,264000.0,45.2,63.6,28.001912568306004
NJ,1992,Flooding,Flood,NJ,1992,2173.18,0.0,2173.18,0.0,0.0,0.0
FL,1981,Flooding,Flood,FL,1981,0.0,0.0,0.0,31.3,34.5,27.628219178082166
LA,1980,Flooding,Flood,LA,1980,885.6,2392.4,3278.0,116.8,32.4,24.40846994535519
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
TX,2017,Hurricane Harvey,Hurricane,TX,2017,196740.69,68287.2,265027.89,115.4,53.5,26.819726027397266
LA,1995,Flooding,Flood,LA,1995,328.76,0.0,328.76,70.1,33.8,24.724109589041113
TX,2017,Hurricane Harvey,Hurricane,TX,2017,500000.0,0.0,500000.0,115.4,53.5,26.819726027397266
NC,1999,Hurricane Dennis,Hurricane,NC,1999,3126.56,0.0,3126.56,68.1,36.8,20.717534246575365
CA,1986,Flooding,Flood,CA,1986,36136.04,6200.0,42336.04,20.0,29.5,26.944657534246563
FL,2022,Hurricane Ian,Hurricane,FL,2022,109780.1,0.0,109780.1,208.8,76.6,28.4682191780822
LA,2008,Hurricane Gustav,Hurricane,LA,2008,0.0,0.0,0.0,124.3,61.5,25.34726775956283
LA,1989,Flooding,Flood,LA,1989,0.0,0.0,0.0,60.7,29.7,24.03835616438355
LA,2012,Hurricane Isaac,Hurricane,LA,2012,34263.73,11046.42,45310.15,75.6,47.8,25.857923497267745
NC,2018,Hurricane Florence,Hurricane,NC,2018,134500.0,26500.0,161000.0,181.7,38.8,20.5109589041096
MA,2010,Nor'easter,Storm,MA,2010,0.0,0.0,0.0,0.0,0.0,0.0
TX,2017,Hurricane Harvey,Hurricane,TX,2017,99029.34,48445.56,147474.9,115.4,53.5,26.819726027397266
PR,1998,Hurricane Georges,Hurricane,PR,1998,4716.43,0.0,4716.43,167.2,48.7,24.90876712328768
TX,2015,Early summer storms,Storm,TX,2015,30761.29,10194.46,40955.75,169.3,37.4,25.443287671232884
TX,2008,Hurricane Ike,Hurricane,TX,2008,37062.58,9038.08,46100.66,41.7,42.5,26.64180327868851
LA,1995,Flooding,Flood,LA,1995,0.0,0.0,0.0,70.1,33.8,24.724109589041113
VA,1985,Hurricane Gloria,Hurricane,VA,1985,2852.17,4214.22,7066.39,44.5,36.1,20.25041095890412
TX,1998,Flooding,Flood,TX,1998,14687.02,0.0,14687.02,120.3,41.8,25.954794520547935
FL,2004,Hurricane Ivan,Hurricane,FL,2004,0.0,0.0,0.0,120.3,64.3,27.106557377049185
NJ,1985,Hurricane Gloria,Hurricane,NJ,1985,562.0,0.0,562.0,0.0,0.0,0.0
TX,1983,Hurricane Alicia,Hurricane,TX,1983,1519.0,0.0,1519.0,51.3,48.6,24.291506849315052
FL,2022,Hurricane Ian,Hurricane,FL,2022,4546.92,0.0,4546.92,208.8,76.6,28.4682191780822
VA,2003,Hurricane Isabel,Hurricane,VA,2003,8724.33,0.0,8724.33,59.8,43.1,18.522191780821892
NC,2011,Hurricane Irene,Hurricane,NC,2011,9167.01,0.0,9167.01,39.3,35.9,21.831232876712335
FL,2022,Hurricane Ian,Hurricane,FL,2022,105089.09,0.0,105089.09,208.8,76.6,28.4682191780822
FL,1988,Flooding,Flood,FL,1988,470.7,0.0,470.7,48.7,37.1,26.840437158469943
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,2500.0,2500.0,63.7,47.6,25.748767123287685
LA,2001,Tropical Storm Allison,Storm,LA,2001,3189.65,932.0,4121.65,86.0,34.9,24.30821917808221
FL,2024,Hurricane Helene,Hurricane,FL,2024,0.0,0.0,0.0,45.2,63.6,28.001912568306004
FL,1982,The 'No-Name Storm',Storm,FL,1982,3936.4,177.43,4113.83,88.2,39.3,27.486027397260273
FL,1993,Blizzard of 1993,Blizzard,FL,1993,22274.85,0.0,22274.85,61.0,45.9,27.21424657534248
TX,2017,Hurricane Harvey,Hurricane,TX,2017,180000.0,50000.0,230000.0,115.4,53.5,26.819726027397266
LA,2005,Hurricane Katrina,Hurricane,LA,2005,132200.0,31300.0,163500.0,63.7,47.6,25.748767123287685
TX,1983,Hurricane Alicia,Hurricane,TX,1983,1372.97,0.0,1372.97,51.3,48.6,24.291506849315052
FL,2024,Hurricane Helene,Hurricane,FL,2024,250000.0,59344.92,309344.92,45.2,63.6,28.001912568306004
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
VA,2003,Hurricane Isabel,Hurricane,VA,2003,16574.16,0.0,16574.16,59.8,43.1,18.522191780821892
MO,1982,Not a named storm,Storm,MO,1982,1389.49,0.0,1389.49,68.2,36.1,18.18520547945204
NJ,1991,"The ""Halloween"" Storm",Storm,NJ,1991,0.0,0.0,0.0,0.0,0.0,0.0
LA,1978,Flooding,Flood,LA,1978,2076.0,685.0,2761.0,94.6,32.2,24.386575342465765
FL,2024,Hurricane Helene,Hurricane,FL,2024,0.0,0.0,0.0,45.2,63.6,28.001912568306004
LA,2012,Hurricane Isaac,Hurricane,LA,2012,13271.13,0.0,13271.13,75.6,47.8,25.857923497267745
NJ,1992,December Storm - Nor'easter,Storm,NJ,1992,0.0,768.5,768.5,0.0,0.0,0.0
NJ,2007,Nor'easter,Storm,NJ,2007,17997.73,0.0,17997.73,0.0,0.0,0.0
NJ,1999,Hurricane Floyd,Hurricane,NJ,1999,22954.93,0.0,22954.93,0.0,0.0,0.0
FL,2022,Hurricane Ian,Hurricane,FL,2022,112379.75,31908.63,144288.38,208.8,76.6,28.4682191780822
