state,yearOfLoss,floodEvent,event_type,state,yearOfLoss,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,totalPaid,precip_mm,wind_max_m_s,temp_mean_c
TX,2008,Hurricane Ike,Hurricane,TX,2008,61760.19,10000.0,71760.19,41.7,42.5,26.64180327868851
TX,2001,Tropical Storm Allison,Storm,TX,2001,0.0,0.0,0.0,60.6,40.8,24.620273972602728
FL,2024,Hurricane Debby,Hurricane,FL,2024,0.0,0.0,0.0,45.2,63.6,28.001912568306004
FL,2022,Hurricane Ian,Hurricane,FL,2022,24731.48,0.0,24731.48,208.8,76.6,28.4682191780822
MD,2003,Hurricane Isabel,Hurricane,MD,2003,28634.91,5000.0,33634.91,0.0,0.0,0.0
TX,1979,Tropical Storm Claudette,Storm,TX,1979,10951.53,5120.0,16071.53,40.6,42.0,24.003287671232854
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,14168.42,0.0,14168.42,0.0,0.0,0.0
FL,1992,Hurricane Andrew,Hurricane,FL,1992,0.0,0.0,0.0,44.4,30.6,27.21147540983609
NC,2016,Hurricane Matthew,Hurricane,NC,2016,70988.91,3000.0,73988.91,117.3,34.6,21.43497267759563
FL,2004,Hurricane Frances,Hurricane,FL,2004,23062.92,0.0,23062.92,120.3,64.3,27.106557377049185
LA,2021,Hurricane Ida,Hurricane,LA,2021,30168.42,0.0,30168.42,176.4,38.0,24.852602739726045
FL,2024,Hurricane Helene,Hurricane,FL,2024,78000.0,26000.0,104000.0,45.2,63.6,28.001912568306004
FL,2000,Flooding,Flood,FL,2000,3756.15,0.0,3756.15,32.8,33.5,27.39262295081968
LA,2024,Hurricane Francine,Hurricane,LA,2024,55877.69,0.0,55877.69,73.8,38.8,26.60273224043716
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,25066.97,0.0,25066.97,0.0,0.0,0.0
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
LA,2005,Hurricane Katrina,Hurricane,LA,2005,33203.65,15500.0,48703.65,63.7,47.6,25.748767123287685
PR,2004,Tropical Storm Jeanne,Storm,PR,2004,0.0,0.0,0.0,38.8,26.8,24.457103825136613
LA,2005,Hurricane Katrina,Hurricane,LA,2005,86358.64,0.0,86358.64,63.7,47.6,25.748767123287685
TX,2017,Hurricane Harvey,Hurricane,TX,2017,201628.02,100000.0,301628.02,115.4,53.5,26.819726027397266
TX,1983,Hurricane Alicia,Hurricane,TX,1983,2631.19,4211.85,6843.040000000001,51.3,48.6,24.291506849315052
LA,1995,Flooding,Flood,LA,1995,35250.66,26819.64,62070.3,70.1,33.8,24.724109589041113
NY,2005,Torrential rain,Heavy Rain,NY,2005,5830.94,0.0,5830.94,77.3,35.3,13.352328767123291
LA,1995,Flooding,Flood,LA,1995,0.0,0.0,0.0,70.1,33.8,24.724109589041113
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,0.0,0.0,0.0,0.0,0.0,0.0
LA,2001,Tropical Storm Allison,Storm,LA,2001,7645.48,462.5,8107.98,86.0,34.9,24.30821917808221
NJ,2007,Nor'easter,Storm,NJ,2007,0.0,0.0,0.0,0.0,0.0,0.0
TX,2016,Spring severe storms,Storm,TX,2016,61851.39,16513.16,78364.55,0.0,0.0,0.0
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,7026.06,0.0,7026.06,0.0,0.0,0.0
TX,2017,Hurricane Harvey,Hurricane,TX,2017,0.0,0.0,0.0,115.4,53.5,26.819726027397266
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,41296.75,0.0,41296.75,0.0,0.0,0.0
NJ,2005,Torrential rain,Heavy Rain,NJ,2005,11405.88,0.0,11405.88,52.9,35.6,17.18712328767126
WV,1997,Flooding,Flood,WV,1997,18600.0,10000.0,28600.0,28.8,36.9,15.007671232876703
LA,1985,Hurricane Juan,Hurricane,LA,1985,1542.48,0.0,1542.48,55.6,40.5,24.450410958904115
FL,2024,Hurricane Milton,Hurricane,FL,2024,8194.13,0.0,8194.13,45.2,63.6,28.001912568306004
LA,2012,Hurricane Isaac,Hurricane,LA,2012,71144.01,10000.0,81144.01,75.6,47.8,25.857923497267745
TX,2017,Hurricane Harvey,Hurricane,TX,2017,11760.7,0.0,11760.7,115.4,53.5,26.819726027397266
FL,1979,Flooding,Flood,FL,1979,289.54,0.0,289.54,30.8,40.8,26.86739726027399
TX,2001,Tropical Storm Allison,Storm,TX,2001,33903.61,8629.37,42532.98,60.6,40.8,24.620273972602728
TX,1980,Hurricane Allen,Hurricane,TX,1980,6118.48,0.0,6118.48,0.0,0.0,0.0
NY,2012,Hurricane Sandy,Hurricane,NY,2012,21521.89,0.0,21521.89,48.8,39.7,14.591530054644808
VA,2003,Hurricane Isabel,Hurricane,VA,2003,970.03,0.0,970.03,59.8,43.1,18.522191780821892
FL,1995,Flooding,Flood,FL,1995,24353.82,2004.75,26358.57,37.3,33.1,26.58630136986301
NC,1999,Hurricane Floyd,Hurricane,NC,1999,0.0,0.0,0.0,68.1,36.8,20.717534246575365
LA,1985,Hurricane Juan,Hurricane,LA,1985,6511.52,0.0,6511.52,55.6,40.5,24.450410958904115
NC,1999,Hurricane Floyd,Hurricane,NC,1999,6337.07,0.0,6337.07,68.1,36.8,20.717534246575365
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,165229.57,0.0,165229.57,0.0,0.0,0.0
FL,2024,June South Florida Flooding,Flood,FL,2024,70259.07,15292.58,85551.65000000001,45.2,63.6,28.001912568306004
TX,2008,Hurricane Ike,Hurricane,TX,2008,4784.73,0.0,4784.73,41.7,42.5,26.64180327868851
FL,1981,Flooding,Flood,FL,1981,38.33,0.0,38.33,31.3,34.5,27.628219178082166
LA,2005,Hurricane Katrina,Hurricane,LA,2005,250000.0,35700.0,285700.0,63.7,47.6,25.748767123287685
TX,2017,Hurricane Harvey,Hurricane,TX,2017,91728.89,20327.7,112056.59,115.4,53.5,26.819726027397266
LA,1985,Hurricane Juan,Hurricane,LA,1985,18581.96,10000.0,28581.96,55.6,40.5,24.450410958904115
TX,2008,Hurricane Ike,Hurricane,TX,2008,7372.48,27372.16,34744.64,41.7,42.5,26.64180327868851
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
AL,2004,Hurricane Ivan,Hurricane,AL,2004,2103.97,0.0,2103.97,126.7,54.8,23.34016393442623
NC,1987,Flooding,Flood,NC,1987,53.0,0.0,53.0,49.2,33.0,20.783835616438346
WV,2004,Tropical Storm Ivan,Storm,WV,2004,1778.56,0.0,1778.56,79.5,37.9,15.868852459016374
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,67753.51,14958.25,82711.76,0.0,0.0,0.0
FL,2024,Hurricane Milton,Hurricane,FL,2024,55420.4,3224.22,58644.62,45.2,63.6,28.001912568306004
NC,2011,Hurricane Irene,Hurricane,NC,2011,0.0,0.0,0.0,39.3,35.9,21.831232876712335
WA,2006,Torrential rain,Heavy Rain,WA,2006,9016.16,0.0,9016.16,129.5,25.6,11.200273972602742
FL,1993,Blizzard of 1993,Blizzard,FL,1993,16500.0,10000.0,26500.0,61.0,45.9,27.21424657534248
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
TX,2017,Hurricane Harvey,Hurricane,TX,2017,0.0,0.0,0.0,115.4,53.5,26.819726027397266
TX,1989,Hurricane Chantel,Hurricane,TX,1989,0.0,0.0,0.0,0.0,0.0,0.0
MA,1987,Flooding,Flood,MA,1987,10807.72,0.0,10807.72,0.0,0.0,0.0
VA,2003,Hurricane Isabel,Hurricane,VA,2003,8208.89,2741.71,10950.599999999999,59.8,43.1,18.522191780821892
NY,1992,December Storm - Nor'easter,Storm,NY,1992,29536.86,0.0,29536.86,29.7,35.3,11.993989071038252
FL,2005,Hurricane Katrina,Hurricane,FL,2005,5495.01,765.0,6260.01,47.4,54.1,26.69808219178083
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
LA,1981,Flooding,Flood,LA,1981,0.0,281.5,281.5,41.9,34.1,24.550136986301368
LA,1983,Flooding,Flood,LA,1983,0.0,119811.6,119811.6,107.7,36.1,23.015890410958903
LA,1995,Flooding,Flood,LA,1995,21600.0,0.0,21600.0,70.1,33.8,24.724109589041113
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
NJ,1996,Flooding,Flood,NJ,1996,6438.28,1641.59,8079.87,55.8,43.0,15.88442622950821
LA,1983,Flooding,Flood,LA,1983,8100.0,3060.0,11160.0,107.7,36.1,23.015890410958903
NY,2011,Tropical Storm Lee,Storm,NY,2011,89620.87,0.0,89620.87,99.2,38.2,13.412054794520554
NY,2012,Hurricane Sandy,Hurricane,NY,2012,15421.82,0.0,15421.82,48.8,39.7,14.591530054644808
FL,2022,Hurricane Ian,Hurricane,FL,2022,24249.92,1593.6,25843.519999999997,208.8,76.6,28.4682191780822
LA,2005,Hurricane Katrina,Hurricane,LA,2005,127000.0,30000.0,157000.0,63.7,47.6,25.748767123287685
MA,2011,Hurricane Irene,Hurricane,MA,2011,9737.65,5845.67,15583.32,0.0,0.0,0.0
FL,2005,Hurricane Wilma,Hurricane,FL,2005,5202.74,0.0,5202.74,47.4,54.1,26.69808219178083
LA,2005,Hurricane Katrina,Hurricane,LA,2005,74000.0,30000.0,104000.0,63.7,47.6,25.748767123287685
NJ,2021,Hurricane Ida,Hurricane,NJ,2021,0.0,12000.0,12000.0,0.0,0.0,0.0
FL,2024,Hurricane Milton,Hurricane,FL,2024,426.58,0.0,426.58,45.2,63.6,28.001912568306004
NJ,2021,Hurricane Ida,Hurricane,NJ,2021,9795.78,0.0,9795.78,0.0,0.0,0.0
TX,2017,Hurricane Harvey,Hurricane,TX,2017,122598.25,100000.0,222598.25,115.4,53.5,26.819726027397266
TX,2017,Hurricane Harvey,Hurricane,TX,2017,33377.76,6532.95,39910.71,115.4,53.5,26.819726027397266
NC,2018,Hurricane Florence,Hurricane,NC,2018,177855.77,24480.02,202335.78999999998,181.7,38.8,20.5109589041096
TX,1983,Hurricane Alicia,Hurricane,TX,1983,4097.25,0.0,4097.25,51.3,48.6,24.291506849315052
TX,2017,Hurricane Harvey,Hurricane,TX,2017,3914.07,6665.19,10579.26,115.4,53.5,26.819726027397266
FL,2005,Hurricane Wilma,Hurricane,FL,2005,48479.85,0.0,48479.85,47.4,54.1,26.69808219178083
MO,1994,Flooding,Flood,MO,1994,8405.44,2069.0,10474.44,64.4,29.8,19.316712328767114
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,0.0,5637.36,5637.36,0.0,0.0,0.0
TX,1983,Hurricane Alicia,Hurricane,TX,1983,29700.0,9500.0,39200.0,51.3,48.6,24.291506849315052
FL,1982,The 'No-Name Storm',Storm,FL,1982,2406.46,9923.85,12330.310000000001,88.2,39.3,27.486027397260273
SC,2016,Hurricane Matthew,Hurricane,SC,2016,0.0,0.0,0.0,124.0,46.5,23.819945355191262
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,68430.27,5458.05,73888.32,0.0,0.0,0.0
FL,2017,Hurricane Irma,Hurricane,FL,2017,174643.85,36410.1,211053.95,75.8,73.1,27.927123287671268
SC,1989,Hurricane Hugo,Hurricane,SC,1989,3046.99,0.0,3046.99,78.5,70.7,23.115616438356138
AL,2004,Hurricane Ivan,Hurricane,AL,2004,0.0,0.0,0.0,126.7,54.8,23.34016393442623
WV,1996,Flooding,Flood,WV,1996,5608.75,1286.25,6895.0,76.6,36.6,14.959562841530056
NY,1979,Not a named storm,Storm,NY,1979,360.0,0.0,360.0,50.2,42.2,12.30849315068494
TX,2008,Hurricane Ike,Hurricane,TX,2008,37436.53,32583.33,70019.86,41.7,42.5,26.64180327868851
FL,2000,Flooding,Flood,FL,2000,21818.78,0.0,21818.78,32.8,33.5,27.39262295081968
NC,2018,Hurricane Florence,Hurricane,NC,2018,1109.79,0.0,1109.79,181.7,38.8,20.5109589041096
KY,1978,Not a named storm,Storm,KY,1978,5500.0,20000.0,25500.0,52.0,35.3,17.467397260273955
FL,2005,Hurricane Katrina,Hurricane,FL,2005,0.0,0.0,0.0,47.4,54.1,26.69808219178083
LA,1980,Flooding,Flood,LA,1980,0.0,0.0,0.0,116.8,32.4,24.40846994535519
MS,2005,Hurricane Katrina,Hurricane,MS,2005,9421.06,16882.05,26303.11,82.8,59.6,24.039999999999996
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
LA,2001,Tropical Storm Allison,Storm,LA,2001,2413.67,0.0,2413.67,86.0,34.9,24.30821917808221
TX,1991,Flooding,Flood,TX,1991,6758.99,0.0,6758.99,0.0,0.0,0.0
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,347611.66,37800.0,385411.66,0.0,0.0,0.0
AL,1998,Hurricane Georges,Hurricane,AL,1998,0.0,0.0,0.0,92.7,33.7,24.04931506849316
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,59982.52,4633.99,64616.509999999995,0.0,0.0,0.0
NC,2011,Hurricane Irene,Hurricane,NC,2011,1327.17,0.0,1327.17,39.3,35.9,21.831232876712335
MN,1978,Flooding,Flood,MN,1978,736.0,0.0,736.0,68.2,35.8,10.772876712328776
LA,1979,Flooding,Flood,LA,1979,8487.65,0.0,8487.65,67.8,38.2,23.784109589041112
OH,1978,Not a named storm,Storm,OH,1978,0.0,0.0,0.0,33.0,44.6,13.889041095890411
AL,2004,Hurricane Ivan,Hurricane,AL,2004,77024.25,5583.0,82607.25,126.7,54.8,23.34016393442623
CA,2010,Winter storm,Storm,CA,2010,0.0,0.0,0.0,46.1,33.5,26.357534246575327
TX,2024,Hurricane Beryl,Hurricane,TX,2024,80206.84,17786.65,97993.48999999999,0.0,0.0,0.0
IL,2013,Mid-spring storms,Storm,IL,2013,592.29,0.0,592.29,47.4,42.0,15.888493150684935
LA,2002,Hurricane Lili,Hurricane,LA,2002,0.0,4684.38,4684.38,57.0,42.7,24.50986301369864
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,0.0,0.0,0.0,0.0,0.0,0.0
LA,1980,Flooding,Flood,LA,1980,0.0,0.0,0.0,116.8,32.4,24.40846994535519
FL,2004,Hurricane Charley,Hurricane,FL,2004,0.0,0.0,0.0,120.3,64.3,27.106557377049185
TX,1979,Tropical Storm Claudette,Storm,TX,1979,18625.45,5000.0,23625.45,40.6,42.0,24.003287671232854
FL,2024,Hurricane Helene,Hurricane,FL,2024,102835.54,0.0,102835.54,45.2,63.6,28.001912568306004
AL,2002,Tropical Storm Isidore,Storm,AL,2002,0.0,0.0,0.0,55.5,33.3,23.339726027397266
VA,1988,Flooding,Flood,VA,1988,1858.47,2669.0,4527.47,51.3,36.6,19.637704918032803
FL,2024,Hurricane Helene,Hurricane,FL,2024,46358.66,0.0,46358.66,45.2,63.6,28.001912568306004
AL,1998,Hurricane Georges,Hurricane,AL,1998,0.0,0.0,0.0,92.7,33.7,24.04931506849316
NY,2012,Hurricane Sandy,Hurricane,NY,2012,14504.32,0.0,14504.32,48.8,39.7,14.591530054644808
HI,1987,Flooding,Flood,HI,1987,2054.55,5339.4,7393.95,0.0,0.0,0.0
FL,2024,Hurricane Helene,Hurricane,FL,2024,26689.47,0.0,26689.47,45.2,63.6,28.001912568306004
FL,2017,Hurricane Irma,Hurricane,FL,2017,35586.4,0.0,35586.4,75.8,73.1,27.927123287671268
NC,2016,Hurricane Matthew,Hurricane,NC,2016,0.0,0.0,0.0,117.3,34.6,21.43497267759563
TX,2001,Tropical Storm Allison,Storm,TX,2001,67563.8,6371.8,73935.6,60.6,40.8,24.620273972602728
TX,1983,Hurricane Alicia,Hurricane,TX,1983,4261.57,1097.95,5359.5199999999995,51.3,48.6,24.291506849315052
LA,1980,Flooding,Flood,LA,1980,3795.42,0.0,3795.42,116.8,32.4,24.40846994535519
FL,2004,Hurricane Jeanne,Hurricane,FL,2004,0.0,0.0,0.0,120.3,64.3,27.106557377049185
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
MO,1986,Flooding,Flood,MO,1986,8415.58,0.0,8415.58,93.7,29.0,19.61808219178083
TX,1983,Hurricane Alicia,Hurricane,TX,1983,564.0,0.0,564.0,51.3,48.6,24.291506849315052
FL,2005,Hurricane Wilma,Hurricane,FL,2005,3528.31,0.0,3528.31,47.4,54.1,26.69808219178083
LA,1980,Flooding,Flood,LA,1980,1728.0,925.0,2653.0,116.8,32.4,24.40846994535519
LA,1985,Hurricane Juan,Hurricane,LA,1985,18243.58,1530.3,19773.88,55.6,40.5,24.450410958904115
FL,2018,Hurricane Michael,Hurricane,FL,2018,175.37,0.0,175.37,32.0,34.6,27.493972602739728
TX,2024,June TS Alberto,Other,TX,2024,5748.02,0.0,5748.02,0.0,0.0,0.0
NJ,1998,Flooding,Flood,NJ,1998,7182.16,1564.75,8746.91,48.0,34.1,18.010958904109593
LA,1980,Flooding,Flood,LA,1980,13032.41,12869.85,25902.260000000002,116.8,32.4,24.40846994535519
TX,1981,Flooding,Flood,TX,1981,6991.17,7040.85,14032.02,0.0,0.0,0.0
NY,2011,Hurricane Irene,Hurricane,NY,2011,502.02,0.0,502.02,99.2,38.2,13.412054794520554
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
FL,1999,Hurricane Irene,Hurricane,FL,1999,153965.82,100000.0,253965.82,110.3,35.5,27.3413698630137
LA,1991,Flooding,Flood,LA,1991,2231.16,0.0,2231.16,86.6,32.6,24.527397260273947
TX,2020,Hurricane Hanna,Hurricane,TX,2020,13054.81,1185.77,14240.58,0.0,0.0,0.0
FL,2024,Hurricane Helene,Hurricane,FL,2024,200949.52,65000.0,265949.52,45.2,63.6,28.001912568306004
TX,1983,Hurricane Alicia,Hurricane,TX,1983,16260.58,13251.0,29511.58,51.3,48.6,24.291506849315052
AL,1979,Hurricane Frederic,Hurricane,AL,1979,8143.8,0.0,8143.8,69.6,40.3,22.312054794520538
MS,2002,Hurricane Lili,Hurricane,MS,2002,1540.0,0.0,1540.0,121.8,34.3,23.636712328767118
LA,2005,Hurricane Rita,Hurricane,LA,2005,26649.96,0.0,26649.96,63.7,47.6,25.748767123287685
MO,1982,Not a named storm,Storm,MO,1982,0.0,30500.0,30500.0,68.2,36.1,18.18520547945204
TX,2017,Hurricane Harvey,Hurricane,TX,2017,74297.2,11715.1,86012.3,115.4,53.5,26.819726027397266
LA,2005,Hurricane Rita,Hurricane,LA,2005,74506.0,9429.0,83935.0,63.7,47.6,25.748767123287685
FL,2024,Hurricane Helene,Hurricane,FL,2024,137196.8,11000.0,148196.8,45.2,63.6,28.001912568306004
LA,2020,Hurricane Laura,Hurricane,LA,2020,0.0,0.0,0.0,72.9,51.4,25.66612021857924
CA,1995,Flooding,Flood,CA,1995,648.0,200.0,848.0,38.7,37.2,25.83369863013699
LA,1982,Flooding,Flood,LA,1982,29893.55,14239.0,44132.55,117.2,33.5,24.85561643835617
NJ,2012,Hurricane Sandy,Hurricane,NJ,2012,4644.99,0.0,4644.99,0.0,0.0,0.0
GA,1994,Tropical Storm Alberto,Storm,GA,1994,50000.0,3900.0,53900.0,0.0,0.0,0.0
HI,1992,Hurricane Iniki,Hurricane,HI,1992,185000.0,30804.11,215804.11,0.0,0.0,0.0
FL,1985,Hurricane Elena,Hurricane,FL,1985,0.0,0.0,0.0,25.6,33.4,27.62438356164381
LA,2016,Late winter severe storms,Storm,LA,2016,40486.43,0.0,40486.43,233.5,35.3,25.598087431693997
LA,2005,Hurricane Katrina,Hurricane,LA,2005,27011.5,10500.0,37511.5,63.7,47.6,25.748767123287685
GA,2024,Hurricane Helene,Hurricane,GA,2024,23939.83,0.0,23939.83,0.0,0.0,0.0
TX,2008,Hurricane Ike,Hurricane,TX,2008,15547.69,409.7,15957.390000000001,41.7,42.5,26.64180327868851
MS,2005,Hurricane Katrina,Hurricane,MS,2005,88796.33,0.0,88796.33,82.8,59.6,24.039999999999996
FL,2022,Hurricane Ian,Hurricane,FL,2022,94110.74,47000.0,141110.74,208.8,76.6,28.4682191780822
LA,2005,Hurricane Katrina,Hurricane,LA,2005,8288.0,0.0,8288.0,63.7,47.6,25.748767123287685
AL,1979,Hurricane Frederic,Hurricane,AL,1979,10086.7,4407.89,14494.59,69.6,40.3,22.312054794520538
TX,1987,Flooding,Flood,TX,1987,1002.67,0.0,1002.67,0.0,0.0,0.0
NJ,1984,Flooding,Flood,NJ,1984,13383.78,5600.0,18983.78,0.0,0.0,0.0
MA,1991,"The ""Halloween"" Storm",Storm,MA,1991,2428.04,0.0,2428.04,0.0,0.0,0.0
LA,2016,Mid-summer severe storms,Storm,LA,2016,119700.0,0.0,119700.0,233.5,35.3,25.598087431693997
FL,1999,Hurricane Irene,Hurricane,FL,1999,14149.76,0.0,14149.76,110.3,35.5,27.3413698630137
NY,2012,Hurricane Sandy,Hurricane,NY,2012,27284.32,0.0,27284.32,48.8,39.7,14.591530054644808
WI,2008,Storm,Storm,WI,2008,0.0,12000.0,12000.0,33.3,40.4,11.751366120218584
PR,1998,Hurricane Georges,Hurricane,PR,1998,5500.0,8400.0,13900.0,167.2,48.7,24.90876712328768
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,3000.0,3000.0,63.7,47.6,25.748767123287685
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
OK,1986,Flooding,Flood,OK,1986,27676.9,7368.63,35045.53,51.7,38.6,22.276164383561657
FL,2017,Hurricane Irma,Hurricane,FL,2017,0.0,0.0,0.0,75.8,73.1,27.927123287671268
LA,1998,Flooding,Flood,LA,1998,4597.4,60.0,4657.4,71.0,34.5,25.703013698630123
CA,1995,Flooding,Flood,CA,1995,2758.72,0.0,2758.72,38.7,37.2,25.83369863013699
IL,2008,Hurricane Ike,Hurricane,IL,2008,18964.76,0.0,18964.76,76.4,44.4,15.811202185792343
FL,2005,Hurricane Wilma,Hurricane,FL,2005,0.0,0.0,0.0,47.4,54.1,26.69808219178083
CT,2010,Nor'easter,Storm,CT,2010,15376.71,2250.14,17626.85,64.0,39.8,16.798904109589028
TX,2017,Hurricane Harvey,Hurricane,TX,2017,250000.0,100000.0,350000.0,115.4,53.5,26.819726027397266
VA,2012,Hurricane Sandy,Hurricane,VA,2012,23420.43,0.0,23420.43,59.3,30.5,21.059016393442622
LA,1983,Flooding,Flood,LA,1983,28942.0,2170.3,31112.3,107.7,36.1,23.015890410958903
LA,2005,Hurricane Katrina,Hurricane,LA,2005,6886.0,0.0,6886.0,63.7,47.6,25.748767123287685
LA,2011,Mid-spring storms,Storm,LA,2011,0.0,0.0,0.0,87.4,32.9,25.82821917808218
CA,1986,Flooding,Flood,CA,1986,0.0,0.0,0.0,20.0,29.5,26.944657534246563
FL,2024,Hurricane Helene,Hurricane,FL,2024,108498.39,6367.17,114865.56,45.2,63.6,28.001912568306004
NJ,1996,Flooding,Flood,NJ,1996,2033.24,0.0,2033.24,55.8,43.0,15.88442622950821
TX,2008,Hurricane Ike,Hurricane,TX,2008,0.0,0.0,0.0,41.7,42.5,26.64180327868851
TX,2008,Hurricane Ike,Hurricane,TX,2008,0.0,0.0,0.0,41.7,42.5,26.64180327868851
TX,1983,Hurricane Alicia,Hurricane,TX,1983,40000.0,5900.0,45900.0,51.3,48.6,24.291506849315052
TX,1989,Hurricane Chantel,Hurricane,TX,1989,0.0,0.0,0.0,0.0,0.0,0.0
FL,1998,Hurricane Georges (Keys),Hurricane,FL,1998,9758.1,0.0,9758.1,93.1,37.8,27.581095890410953
NC,1996,Hurricane Bertha,Hurricane,NC,1996,29350.81,0.0,29350.81,97.7,45.8,19.459562841530044
PA,2021,Hurricane Ida,Hurricane,PA,2021,12637.64,0.0,12637.64,136.3,36.8,17.51369863013698
MS,2005,Hurricane Katrina,Hurricane,MS,2005,250000.0,100000.0,350000.0,82.8,59.6,24.039999999999996
PA,2020,Hurricane Isaias,Hurricane,PA,2020,33031.45,7593.76,40625.21,58.0,37.8,17.642622950819675
NC,2003,Hurricane Isabel,Hurricane,NC,2003,2662.67,760.7,3423.37,66.2,37.3,19.546301369863023
FL,1993,Blizzard of 1993,Blizzard,FL,1993,33755.01,4304.5,38059.51,61.0,45.9,27.21424657534248
MI,1986,Flooding,Flood,MI,1986,0.0,0.0,0.0,52.2,43.9,13.231232876712333
FL,2005,Hurricane Katrina,Hurricane,FL,2005,0.0,0.0,0.0,47.4,54.1,26.69808219178083
FL,1999,Hurricane Floyd,Hurricane,FL,1999,1810.01,0.0,1810.01,110.3,35.5,27.3413698630137
NC,1996,Hurricane Bertha,Hurricane,NC,1996,5405.08,509.7,5914.78,97.7,45.8,19.459562841530044
MD,2003,Hurricane Isabel,Hurricane,MD,2003,63427.08,0.0,63427.08,0.0,0.0,0.0
LA,2005,Hurricane Katrina,Hurricane,LA,2005,94600.0,29500.0,124100.0,63.7,47.6,25.748767123287685
FL,2004,Hurricane Ivan,Hurricane,FL,2004,25811.81,0.0,25811.81,120.3,64.3,27.106557377049185
NY,2012,Hurricane Sandy,Hurricane,NY,2012,78565.47,17231.16,95796.63,48.8,39.7,14.591530054644808
NJ,2011,Hurricane Irene,Hurricane,NJ,2011,49703.03,4600.0,54303.03,0.0,0.0,0.0
FL,2004,Hurricane Ivan,Hurricane,FL,2004,72697.05,16647.84,89344.89,120.3,64.3,27.106557377049185
FL,1999,Hurricane Irene,Hurricane,FL,1999,9265.56,0.0,9265.56,110.3,35.5,27.3413698630137
LA,2005,Hurricane Katrina,Hurricane,LA,2005,3000.0,0.0,3000.0,63.7,47.6,25.748767123287685
MD,2012,Hurricane Sandy,Hurricane,MD,2012,16509.1,0.0,16509.1,0.0,0.0,0.0
FL,2004,Hurricane Ivan,Hurricane,FL,2004,114831.57,48600.0,163431.57,120.3,64.3,27.106557377049185
FL,1979,Flooding,Flood,FL,1979,0.0,0.0,0.0,30.8,40.8,26.86739726027399
TX,2017,Hurricane Harvey,Hurricane,TX,2017,9045.59,0.0,9045.59,115.4,53.5,26.819726027397266
NY,2011,Hurricane Irene,Hurricane,NY,2011,0.0,0.0,0.0,99.2,38.2,13.412054794520554
NJ,1992,December Storm - Nor'easter,Storm,NJ,1992,27557.78,0.0,27557.78,0.0,0.0,0.0
LA,2005,Hurricane Rita,Hurricane,LA,2005,7037.67,2812.27,9849.94,63.7,47.6,25.748767123287685
VA,1996,Hurricane Fran,Hurricane,VA,1996,4985.96,1326.5,6312.46,81.4,41.9,18.489617486338798
NE,2019,March 2019 Midwest Flooding,Flood,NE,2019,151159.59,0.0,151159.59,0.0,0.0,0.0
LA,2005,Hurricane Katrina,Hurricane,LA,2005,0.0,0.0,0.0,63.7,47.6,25.748767123287685
IL,1987,Flooding,Flood,IL,1987,305.0,0.0,305.0,40.3,46.8,17.158630136986297
LA,2008,Hurricane Gustav,Hurricane,LA,2008,80030.03,33701.14,113731.17,124.3,61.5,25.34726775956283
FL,2024,Hurricane Helene,Hurricane,FL,2024,96183.99,20722.02,116906.01000000001,45.2,63.6,28.001912568306004
IL,1986,Flooding,Flood,IL,1986,0.0,77.3,77.3,59.1,42.6,16.543561643835627
NY,2012,Hurricane Sandy,Hurricane,NY,2012,31968.64,0.0,31968.64,48.8,39.7,14.591530054644808
NC,2003,Hurricane Isabel,Hurricane,NC,2003,4308.27,0.0,4308.27,66.2,37.3,19.546301369863023
